Date,XLU,XLB,XLI,XLE,XLY,XLP,XLV,XLK,XLF,Cash,Total
2001-Apr-26,25938,2195.2,6241.2,11832.7,8901.92,15400.6,3751.32,-9600.57,13625.3,19583.3,97868.9
2001-Apr-27,25953.8,2197.16,6287.4,11752.9,9115.12,15487.1,3715.2,-9730.91,13919.1,19583.3,98280.1
2001-Apr-30,25977.6,2165.8,6222.3,11752.9,8954.4,15573.6,3715.2,-9881.83,13695,19583.3,97758.2
2001-May-01,24931.8,2056.2,5890.3,16858.7,9052.8,8230.04,6142.5,-8230.5,13975.9,19332.9,98240.7
2001-May-02,24615.6,2056.2,5892.27,16202.3,9124.96,8181.59,6161.4,-8395.11,14086.8,19332.9,97258.9
2001-May-03,24299.3,2052.52,5805.59,16122.2,9020,8139.6,6041.7,-8127.27,14091.8,19332.9,96778.4
2001-May-04,24547.8,2087.48,5894.24,16377.7,9102,8210.66,6060.6,-8244.45,14263.2,19332.9,97632.1
2001-May-07,24675.8,2062.64,5915.91,16422.8,9033.12,8207.43,6075.3,-8236.08,14172.5,19332.9,97662.3
2001-May-08,24321.9,2068.16,5925.76,16407.8,9026.56,8178.36,5974.5,-8272.35,14026.3,19332.9,96989.9
2001-May-09,24359.5,2088.4,5892.27,16698.3,8888.8,8220.35,6012.3,-8157.96,14011.2,19332.9,97346.2
2001-May-10,24374.6,2132.56,5957.28,16578.1,9144.64,8178.36,6052.2,-8037.99,14016.2,19332.9,97728.9
2001-May-11,24389.7,2090.24,5927.73,16417.8,9184,8133.14,6081.6,-7951.5,13885.2,19332.9,97490.8
2001-May-14,24713.5,2104.96,5955.31,16673.3,9161.04,8204.2,6054.3,-7839.9,14001.1,19332.9,98360.7
2001-May-15,24547.8,2120.6,5978.95,16823.6,9128.24,8155.75,6081.6,-7825.95,14086.8,19332.9,98430.3
2001-May-16,25074.9,2231,6172.01,16963.9,9239.76,8404.46,6249.6,-8144.01,14464.8,19332.9,99989.3
2001-May-17,24924.3,2254,6274.45,17019,9380.8,8446.45,6304.2,-8191.44,14389.2,19332.9,100134
