Date,Open,High,Low,Close,Volume,Adj Close
1987-02-28,359.47,359.47,359.47,359.47,0,359.47
1987-03-31,357.56,357.56,357.56,357.56,0,357.56
1987-04-30,346.5,346.5,346.5,346.5,0,346.5
1987-05-31,344.37,344.37,344.37,344.37,0,344.37
1987-06-30,349.72,349.72,349.72,349.72,0,349.72
1987-07-31,347.97,347.97,347.97,347.97,0,347.97
1987-08-31,345.18,345.18,345.18,345.18,0,345.18
1987-09-30,336.77,336.77,336.77,336.77,0,336.77
1987-10-31,346.77,346.77,346.77,346.77,0,346.77
1987-11-30,352.43,352.43,352.43,352.43,0,352.43
1987-12-31,357.67,357.67,357.67,357.67,0,357.67
1988-01-31,371.37,371.37,371.37,371.37,0,371.37
1988-02-29,377.61,377.61,377.61,377.61,0,377.61
1988-03-31,373.31,373.31,373.31,373.31,0,373.31
1988-04-30,369.61,369.61,369.61,369.61,0,369.61
1988-05-31,366.81,366.81,366.81,366.81,0,366.81
1988-06-30,376.66,376.66,376.66,376.66,0,376.66
1988-07-31,376.38,376.38,376.38,376.38,0,376.38
1988-08-31,378.88,378.88,378.88,378.88,0,378.88
1988-09-30,387.49,387.49,387.49,387.49,0,387.49
1988-10-31,393.74,393.74,393.74,393.74,0,393.74
1988-11-30,390.86,390.86,390.86,390.86,0,390.86
1988-12-31,392.57,392.57,392.57,392.57,0,392.57
1989-01-31,397.88980069999997,397.88980069999997,397.88980069999997,397.88980069999997,0,397.88980069999997
1989-02-28,394.7996224,394.7996224,394.7996224,394.7996224,0,394.7996224
1989-03-31,397.1465933,397.1465933,397.1465933,397.1465933,0,397.1465933
1989-04-30,403.6789956,403.6789956,403.6789956,403.6789956,0,403.6789956
1989-05-31,415.8832443,415.8832443,415.8832443,415.8832443,0,415.8832443
1989-06-30,428.63511960000005,428.63511960000005,428.63511960000005,428.63511960000005,0,428.63511960000005
1989-07-31,435.75426460000006,435.75426460000006,435.75426460000006,435.75426460000006,0,435.75426460000006
1989-08-31,430.7082772,430.7082772,430.7082772,430.7082772,0,430.7082772
1989-09-30,432.1555759,432.1555759,432.1555759,432.1555759,0,432.1555759
1989-10-31,441.6608081,441.6608081,441.6608081,441.6608081,0,441.6608081
1989-11-30,444.3989408,444.3989408,444.3989408,444.3989408,0,444.3989408
1989-12-31,446.5112146000001,446.5112146000001,446.5112146000001,446.5112146000001,0,446.5112146000001
1990-01-31,438.02300319999995,438.02300319999995,438.02300319999995,438.02300319999995,0,438.02300319999995
1990-02-28,439.3529534,439.3529534,439.3529534,439.3529534,0,439.3529534
1990-03-31,440.1743932,440.1743932,440.1743932,440.1743932,0,440.1743932
1990-04-30,435.12840570000003,435.12840570000003,435.12840570000003,435.12840570000003,0,435.12840570000003
1990-05-31,448.58437230000004,448.58437230000004,448.58437230000004,448.58437230000004,0,448.58437230000004
1990-06-30,456.485841,456.485841,456.485841,456.485841,0,456.485841
1990-07-31,461.8838741,461.8838741,461.8838741,461.8838741,0,461.8838741
1990-08-31,453.2000817,453.2000817,453.2000817,453.2000817,0,453.2000817
1990-09-30,457.0334675,457.0334675,457.0334675,457.0334675,0,457.0334675
1990-10-31,463.64410219999996,463.64410219999996,463.64410219999996,463.64410219999996,0,463.64410219999996
1990-11-30,474.6357493,474.6357493,474.6357493,474.6357493,0,474.6357493
1990-12-31,482.49810180000003,482.49810180000003,482.49810180000003,482.49810180000003,0,482.49810180000003
1991-01-31,487.85701869999997,487.85701869999997,487.85701869999997,487.85701869999997,0,487.85701869999997
1991-02-28,492.2771473,492.2771473,492.2771473,492.2771473,0,492.2771473
1991-03-31,497.28401849999995,497.28401849999995,497.28401849999995,497.28401849999995,0,497.28401849999995
1991-04-30,502.68205159999997,502.68205159999997,502.68205159999997,502.68205159999997,0,502.68205159999997
1991-05-31,505.57664910000005,505.57664910000005,505.57664910000005,505.57664910000005,0,505.57664910000005
1991-06-30,504.28581510000004,504.28581510000004,504.28581510000004,504.28581510000004,0,504.28581510000004
1991-07-31,511.4049601,511.4049601,511.4049601,511.4049601,0,511.4049601
1991-08-31,524.0394868,524.0394868,524.0394868,524.0394868,0,524.0394868
1991-09-30,535.5396443,535.5396443,535.5396443,535.5396443,0,535.5396443
1991-10-31,540.6638641,540.6638641,540.6638641,540.6638641,0,540.6638641
1991-11-30,545.7880839,545.7880839,545.7880839,545.7880839,0,545.7880839
1991-12-31,564.0162246,564.0162246,564.0162246,564.0162246,0,564.0162246
1992-01-31,556.5450339,556.5450339,556.5450339,556.5450339,0,556.5450339
1992-02-29,559.0484695,559.0484695,559.0484695,559.0484695,0,559.0484695
1992-03-31,558.4617268,558.4617268,558.4617268,558.4617268,0,558.4617268
1992-04-30,561.6301375,561.6301375,561.6301375,561.6301375,0,561.6301375
1992-05-31,572.1915066,572.1915066,572.1915066,572.1915066,0,572.1915066
1992-06-30,580.9535312999999,580.9535312999999,580.9535312999999,580.9535312999999,0,580.9535312999999
1992-07-31,595.4656347,595.4656347,595.4656347,595.4656347,0,595.4656347
1992-08-31,600.9419002000001,600.9419002000001,600.9419002000001,600.9419002000001,0,600.9419002000001
1992-09-30,608.8433689,608.8433689,608.8433689,608.8433689,0,608.8433689
1992-10-31,600.9810163,600.9810163,600.9810163,600.9810163,0,600.9810163
1992-11-30,601.5677591,601.5677591,601.5677591,601.5677591,0,601.5677591
1992-12-31,611.7770825,611.7770825,611.7770825,611.7770825,0,611.7770825
1993-01-31,623.511937,623.511937,623.511937,623.511937,0,623.511937
1993-02-28,634.4253517000001,634.4253517000001,634.4253517000001,634.4253517000001,0,634.4253517000001
1993-03-31,637.9849243,637.9849243,637.9849243,637.9849243,0,637.9849243
1993-04-30,642.7570984,642.7570984,642.7570984,642.7570984,0,642.7570984
1993-05-31,642.8353308,642.8353308,642.8353308,642.8353308,0,642.8353308
1993-06-30,655.5872061000001,655.5872061000001,655.5872061000001,655.5872061000001,0,655.5872061000001
1993-07-31,659.0685462,659.0685462,659.0685462,659.0685462,0,659.0685462
1993-08-31,673.5415335,673.5415335,673.5415335,673.5415335,0,673.5415335
1993-09-30,677.5705002000001,677.5705002000001,677.5705002000001,677.5705002000001,0,677.5705002000001
1993-10-31,681.4821184,681.4821184,681.4821184,681.4821184,0,681.4821184
1993-11-30,673.8153467999999,673.8153467999999,673.8153467999999,673.8153467999999,0,673.8153467999999
1993-12-31,678.0790106000001,678.0790106000001,678.0790106000001,678.0790106000001,0,678.0790106000001
1994-01-31,687.5842427,687.5842427,687.5842427,687.5842427,0,687.5842427
1994-02-28,673.5024172999999,673.5024172999999,673.5024172999999,673.5024172999999,0,673.5024172999999
1994-03-31,659.6552889999999,659.6552889999999,659.6552889999999,659.6552889999999,0,659.6552889999999
1994-04-30,653.0055381,653.0055381,653.0055381,653.0055381,0,653.0055381
1994-05-31,651.3626584,651.3626584,651.3626584,651.3626584,0,651.3626584
1994-06-30,650.0327083,650.0327083,650.0327083,650.0327083,0,650.0327083
1994-07-31,663.6842557,663.6842557,663.6842557,663.6842557,0,663.6842557
1994-08-31,663.2148615,663.2148615,663.2148615,663.2148615,0,663.2148615
1994-09-30,652.6534924,652.6534924,652.6534924,652.6534924,0,652.6534924
1994-10-31,650.5021024,650.5021024,650.5021024,650.5021024,0,650.5021024
1994-11-30,650.4238701,650.4238701,650.4238701,650.4238701,0,650.4238701
1994-12-31,656.8389239,656.8389239,656.8389239,656.8389239,0,656.8389239
1995-01-31,669.0822887999999,669.0822887999999,669.0822887999999,669.0822887999999,0,669.0822887999999
1995-02-28,683.8682054999999,683.8682054999999,683.8682054999999,683.8682054999999,0,683.8682054999999
1995-03-31,691.0655829,691.0655829,691.0655829,691.0655829,0,691.0655829
1995-04-30,701.3140225,701.3140225,701.3140225,701.3140225,0,701.3140225
1995-05-31,732.9590136,732.9590136,732.9590136,732.9590136,0,732.9590136
1995-06-30,738.6308598999999,738.6308598999999,738.6308598999999,738.6308598999999,0,738.6308598999999
1995-07-31,734.2107314,734.2107314,734.2107314,734.2107314,0,734.2107314
1995-08-31,746.4540963,746.4540963,746.4540963,746.4540963,0,746.4540963
1995-09-30,754.8249591,754.8249591,754.8249591,754.8249591,0,754.8249591
1995-10-31,766.207768,766.207768,766.207768,766.207768,0,766.207768
1995-11-30,780.1331287,780.1331287,780.1331287,780.1331287,0,780.1331287
1995-12-31,792.3373774,792.3373774,792.3373774,792.3373774,0,792.3373774
1996-01-31,797.8918752000001,797.8918752000001,797.8918752000001,797.8918752000001,0,797.8918752000001
1996-02-29,778.0208549,778.0208549,778.0208549,778.0208549,0,778.0208549
1996-03-31,773.2095646,773.2095646,773.2095646,773.2095646,0,773.2095646
1996-04-30,765.6992577000001,765.6992577000001,765.6992577000001,765.6992577000001,0,765.6992577000001
1996-05-31,764.5257722,764.5257722,764.5257722,764.5257722,0,764.5257722
1996-06-30,773.9136557999999,773.9136557999999,773.9136557999999,773.9136557999999,0,773.9136557999999
1996-07-31,775.5174193,775.5174193,775.5174193,775.5174193,0,775.5174193
1996-08-31,772.4663571000001,772.4663571000001,772.4663571000001,772.4663571000001,0,772.4663571000001
1996-09-30,788.6604563999999,788.6604563999999,788.6604563999999,788.6604563999999,0,788.6604563999999
1996-10-31,810.4872857999999,810.4872857999999,810.4872857999999,810.4872857999999,0,810.4872857999999
1996-11-30,828.9892397000001,828.9892397000001,828.9892397000001,828.9892397000001,0,828.9892397000001
1996-12-31,817.215269,817.215269,817.215269,817.215269,0,817.215269
1997-01-31,817.3717337999999,817.3717337999999,817.3717337999999,817.3717337999999,0,817.3717337999999
1997-02-28,818.1540574,818.1540574,818.1540574,818.1540574,0,818.1540574
1997-03-31,807.1624102999999,807.1624102999999,807.1624102999999,807.1624102999999,0,807.1624102999999
1997-04-30,820.8139578,820.8139578,820.8139578,820.8139578,0,820.8139578
1997-05-31,828.1286837,828.1286837,828.1286837,828.1286837,0,828.1286837
1997-06-30,840.4893972000001,840.4893972000001,840.4893972000001,840.4893972000001,0,840.4893972000001
1997-07-31,871.4302969,871.4302969,871.4302969,871.4302969,0,871.4302969
1997-08-31,858.6393055,858.6393055,858.6393055,858.6393055,0,858.6393055
1997-09-30,874.7942886,874.7942886,874.7942886,874.7942886,0,874.7942886
1997-10-31,889.0325787,889.0325787,889.0325787,889.0325787,0,889.0325787
1997-11-30,891.4968982,891.4968982,891.4968982,891.4968982,0,891.4968982
1997-12-31,903.4664498,903.4664498,903.4664498,903.4664498,0,903.4664498
1998-01-31,918.6044121,918.6044121,918.6044121,918.6044121,0,918.6044121
1998-02-28,916.4921383,916.4921383,916.4921383,916.4921383,0,916.4921383
1998-03-31,920.7558021,920.7558021,920.7558021,920.7558021,0,920.7558021
1998-04-30,924.5891879000001,924.5891879000001,924.5891879000001,924.5891879000001,0,924.5891879000001
1998-05-31,936.3240424,936.3240424,936.3240424,936.3240424,0,936.3240424
1998-06-30,945.5554612999999,945.5554612999999,945.5554612999999,945.5554612999999,0,945.5554612999999
1998-07-31,944.9296024,944.9296024,944.9296024,944.9296024,0,944.9296024
1998-08-31,959.3634734999999,959.3634734999999,959.3634734999999,959.3634734999999,0,959.3634734999999
1998-09-30,986.9403815999999,986.9403815999999,986.9403815999999,986.9403815999999,0,986.9403815999999
1998-10-31,979.9777013,979.9777013,979.9777013,979.9777013,0,979.9777013
1998-11-30,988.5050288999998,988.5050288999998,988.5050288999998,988.5050288999998,0,988.5050288999998
1998-12-31,992.0254853,992.0254853,992.0254853,992.0254853,0,992.0254853
1999-01-31,999.3793274,999.3793274,999.3793274,999.3793274,0,999.3793274
1999-02-28,968.9078218000001,968.9078218000001,968.9078218000001,968.9078218000001,0,968.9078218000001
